Group,Subfield,Category,Count
Data,availability,Failure,5
Data,availability,IrrelevantSuccess,546
Data,availability,NotEnoughOnly,12
Data,availability,PartialRejection,449
Data,provenance,Failure,60
Data,provenance,IrrelevantSuccess,546
Data,provenance,NotEnoughOnly,125
Data,provenance,PartialRejection,281
Data,redundancy,Failure,67
Data,redundancy,IrrelevantSuccess,546
Data,redundancy,NotEnoughOnly,4
Data,redundancy,PartialRejection,395
Data,splits,Failure,20
Data,splits,IrrelevantSuccess,546
Data,splits,NotEnoughOnly,312
Data,splits,PartialRejection,134
Evaluation,availability,Failure,4
Evaluation,availability,IrrelevantSuccess,546
Evaluation,availability,NotEnoughOnly,27
Evaluation,availability,PartialRejection,435
Evaluation,comparison,Failure,294
Evaluation,comparison,IrrelevantSuccess,546
Evaluation,comparison,PartialRejection,172
Evaluation,confidence,Failure,135
Evaluation,confidence,IrrelevantSuccess,546
Evaluation,confidence,NotEnoughOnly,43
Evaluation,confidence,PartialRejection,288
Evaluation,measure,Failure,218
Evaluation,measure,IrrelevantSuccess,546
Evaluation,measure,NotEnoughOnly,211
Evaluation,measure,PartialRejection,37
Evaluation,method,Failure,170
Evaluation,method,IrrelevantSuccess,546
Evaluation,method,NotEnoughOnly,285
Evaluation,method,PartialRejection,11
Model,availability,Failure,1
Model,availability,IrrelevantSuccess,546
Model,availability,NotEnoughOnly,1
Model,availability,PartialRejection,464
Model,duration,Failure,6
Model,duration,IrrelevantSuccess,546
Model,duration,NotEnoughOnly,420
Model,duration,PartialRejection,40
Model,interpretability,Failure,332
Model,interpretability,IrrelevantSuccess,546
Model,interpretability,NotEnoughOnly,11
Model,interpretability,PartialRejection,123
Model,output,Failure,352
Model,output,IrrelevantSuccess,546
Model,output,NotEnoughOnly,66
Model,output,PartialRejection,48
Optimisation,algorithm,Failure,333
Optimisation,algorithm,IrrelevantSuccess,546
Optimisation,algorithm,NotEnoughOnly,87
Optimisation,algorithm,PartialRejection,46
Optimisation,config,Failure,1
Optimisation,config,IrrelevantSuccess,546
Optimisation,config,NotEnoughOnly,412
Optimisation,config,PartialRejection,53
Optimisation,encoding,Failure,177
Optimisation,encoding,IrrelevantSuccess,546
Optimisation,encoding,NotEnoughOnly,232
Optimisation,encoding,PartialRejection,57
Optimisation,features,Failure,62
Optimisation,features,IrrelevantSuccess,546
Optimisation,features,NotEnoughOnly,291
Optimisation,features,PartialRejection,113
Optimisation,fitting,Failure,59
Optimisation,fitting,IrrelevantSuccess,546
Optimisation,fitting,NotEnoughOnly,52
Optimisation,fitting,PartialRejection,355
Optimisation,meta,Failure,90
Optimisation,meta,IrrelevantSuccess,546
Optimisation,meta,NotEnoughOnly,73
Optimisation,meta,PartialRejection,303
Optimisation,parameters,Failure,3
Optimisation,parameters,IrrelevantSuccess,546
Optimisation,parameters,NotEnoughOnly,292
Optimisation,parameters,PartialRejection,171
Optimisation,regularization,Failure,65
Optimisation,regularization,IrrelevantSuccess,546
Optimisation,regularization,NotEnoughOnly,396
Optimisation,regularization,PartialRejection,5
