Category,Field,ComparedCount,MatchCount,SuccessPercent
dataset,dataset/availability,44,33,75.0
dataset,dataset/provenance,155,108,69.6774193548387
dataset,dataset/redundancy,61,39,63.934426229508205
dataset,dataset/splits,146,95,65.06849315068493
evaluation,evaluation/comparison,40,23,57.49999999999999
evaluation,evaluation/confidence,23,10,43.47826086956522
evaluation,evaluation/measure,53,47,88.67924528301887
evaluation,evaluation/method,68,44,64.70588235294117
model,model/availability,29,23,79.3103448275862
model,model/duration,28,15,53.57142857142857
model,model/interpretability,6,1,16.666666666666664
model,model/output,8,8,100.0
optimization,optimization/algorithm,7,5,71.42857142857143
optimization,optimization/config,18,12,66.66666666666666
optimization,optimization/encoding,61,39,63.934426229508205
optimization,optimization/features,96,56,58.333333333333336
optimization,optimization/fitting,31,13,41.935483870967744
optimization,optimization/meta,5,2,40.0
optimization,optimization/parameters,66,35,53.03030303030303
optimization,optimization/regularization,25,13,52.0
